Name	Melt Tier	Time to melt	Burn Tier	Time to Burn	Time to congeal
Bloodstone	2	100	5	60	120
Blue Vitriol	1	40	2	40	40
Dawnstone	3	60	6	100	80
Dragon Bone	4	20	5	100	100
Drakestone	1	20	3	20	140
Everite	3	20	5	80	40
Ice Dragon Bone	4	60	7	160	180
Iron	1	80	3	60	20
Lazurite	2	180	4	60	200
Nevarrite	3	60	4	40	40
Obsidian	2	120	5	120	100
Onyx	1	80	3	20	200
Paragon's Luster	2	120	4	160	160
Pyrophite	2	120	5	140	60
Serault Infused Glass	2	120	5	80	40
Serpentstone	1	200	3	200	20
Silverite	3	80	5	120	160
Stormheart	3	120	6	140	200
Summer Stone	1	120	2	180	20
Veil Quartz	4	120	5	160	120
Veridium	2	40	3	80	100
Volcanic Aurum	3	100	6	140	180
